Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,pts
4,6,29,46,1,13:13,0,0,3
4,21,31,48,2,12:56,0.17,17,3
4,8,8,26,2,2:21,7.2,13,3
4,13,19,36,2,6:31,0.07,7,0
4,8,23,40,4,13:30,21.1,11,3
4,5,20,38,3,6:27,13.07,-6,3
4,14,14,32,1,0:50,7,-7,3
4,1,41,59,4,0:24,34.24,-10,0
4,5,10,27,1,8:19,3,-3,3
4,8,28,45,2,14:16,6.03,-3,3
4,6,6,23,2,6:46,6.13,7,-7
4,16,28,46,2,14:56,0,0,3
4,9,24,43,5,9:40,24.24,0,3
4,10,19,37,1,4:44,3,-3,3
4,4,16,34,2,2:05,10.1,0,3
4,8,28,46,4,14:11,13.13,0,3
4,2,2,20,2,9:50,10.14,4,3
4,5,11,29,3,0:20,20.17,-3,3
4,8,11,29,4,10:50,28.1,18,3
4,19,33,51,2,0:58,3.28,25,3
4,2,20,38,3,5:08,17.38,21,0
4,5,15,33,4,10:41,17.38,21,3
4,4,22,40,1,11:26,0,0,0
4,8,8,26,3,2:17,14.27,13,3
4,4,6,24,2,9:50,7.07,0,3
4,4,10,28,4,13:09,24.07,-17,0
4,10,26,43,2,14:11,0,0,3
4,6,18,36,3,8:39,10.07,3,3
4,23,33,50,4,10:11,13.17,-4,0
4,8,17,34,4,11:47,0.52,52,3
4,8,19,36,2,2:48,21.14,-7,3
4,1,4,20,3,4:55,13.07,-6,3
4,8,17,34,1,12:17,0,0,3
4,15,15,32,1,0:57,3.03,0,3
4,2,22,39,2,0:05,20.13,7,3
4,3,4,22,4,2:30,31.24,7,3
4,2,4,21,1,11:24,0,0,3
4,11,11,27,2,13:02,7.03,-4,0
4,3,29,46,2,0:11,10.1,0,3
4,7,12,29,3,11:30,10.13,3,3
4,10,17,34,1,8:32,0,0,0
4,5,23,40,2,13:03,0,0,3
4,10,16,33,2,0:32,7.03,-4,3
4,5,23,40,3,0:30,14.06,-8,3
4,8,21,38,2,1:38,7.14,-7,3
4,5,14,32,3,0:06,17.14,3,3
4,4,14,31,4,11:49,20.14,6,3
4,7,30,47,4,2:48,30.22,8,0
4,7,26,42,1,11:26,0,0,3
4,6,24,41,4,11:19,17.14,3,0
4,8,19,36,2,2:48,21.14,-7,3
4,8,19,36,2,2:48,21.14,-7,3
4,5,19,36,1,10:50,0,0,3
4,1,4,21,2,0:02,10.13,-3,3
4,8,12,29,3,8:45,13.13,0,0
4,26,27,44,1,6:22,3,-3,3
4,6,30,47,2,14:27,3.03,0,-7
4,7,9,26,2,2:46,10.03,-7,3
4,5,19,36,1,10:50,0,0,3
4,1,4,21,2,0:02,10.13,-3,3
4,6,6,24,1,4:19,0.07,-7,3
4,31,44,54,3,7:32,10.28,-18,3
4,16,18,35,3,2:46,14.21,7,3
4,1,1,18,1,7:29,0,0,3
4,3,22,39,2,10:46,10,10,3
4,9,14,31,3,11:12,3,-3,3
4,10,10,27,1,3:23,0.03,-3,3
4,23,33,50,4,5:20,38.13,25,3
4,2,2,19,1,3:43,7,7,3
4,16,36,53,4,7:19,6.24,18,0
4,9,14,31,3,11:12,3,-3,3
4,6,16,33,1,8:14,0,0,3
