Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,Points on next possession
4,4,-38,46,1,5:10,7.07,0,-7
4,2,-23,51,2,14:03,7.14,-7,0
4,4,-36,59,2,9:37,7.14,-7,0
4,3,-34,45,3,5:00,28.17,11,0
4,15,39,39,1,2:21,0,0,0
4,10,-3,38,2,10:48,0,0,0
4,2,-38,52,2,6:22,0,0,0
4,7,-43,56,3,2:50,14.1,4,0
4,4,-47,53,4,13:16,14.1,4,0
4,36,48,39,4,5:21,14.1,4,-7
4,12,-23,39,1,13:41,0,0,-3
4,12,-39,38,4,6:29,13.3,17,0
4,10,-15,50,4,3:50,13.3,17,-7
4,7,49,40,1,3:50,3.07,4,0
4,12,43,32,1,0:43,3.07,4,-7
4,1,-29,63,2,5:08,10.17,7,-7
4,11,-24,45,3,13:03,17.17,0,-3
4,5,-28,31,3,6:52,20.17,-3,0
4,8,50,48,3,3:47,20.17,-3,0
4,9,-21,32,1,2:37,14,14,-3
4,21,-11,46,3,0:30,28.03,25,-7
4,5,44,39,1,9:29,0,0,0
4,10,-20,35,2,14:54,7.07,0,-7
4,5,49,49,2,2:24,7.21,-14,0
4,9,-21,47,3,3:20,14.21,-7,0
4,6,-49,49,1,9:30,0.07,7,-3
4,10,-25,47,1,5:23,3.07,4,0
4,15,37,20,2,0:53,21.06,15,0
4,1,-22,44,3,7:57,21.06,15,0
4,12,-18,62,3,2:31,28.13,15,-7
4,4,-33,45,4,11:01,35.27,8,-7
4,4,-36,45,1,2:38,0,0,0
4,6,-34,57,2,1:03,0.14,14,7
4,1,-34,0,3,6:32,7.27,20,-7
4,9,47,32,4,6:18,24.38,14,0
4,2,43,33,1,11:50,0,0,7
4,18,-45,25,2,10:51,14.07,7,0
4,11,-26,40,3,9:44,14.07,7,0
4,12,-43,35,3,1:36,21.14,7,0
4,29,48,34,4,13:18,21.14,7,-3
4,15,43,24,1,10:50,0,0,0
4,1,-42,43,3,9:22,17.14,3,0
4,18,-3,30,4,14:14,24.21,3,0
4,18,45,35,1,9:15,7,-7,0
4,5,43,35,1,5:09,7,-7,-3
4,10,-45,29,2,12:55,17,-17,0
4,8,-44,31,3,11:14,24.07,-17,0
4,15,39,24,3,4:35,24.07,-17,0
4,4,-38,46,1,5:10,7.07,0,-7
4,2,-23,51,2,14:03,7.14,-7,0
4,4,-36,59,2,9:37,7.14,-7,0
4,3,-34,45,3,5:00,28.17,11,0
4,15,39,39,1,2:21,0,0,0
4,10,-3,38,2,10:48,0,0,0
4,2,-38,52,2,6:22,0,0,0
4,7,-43,56,3,2:50,14.1,4,0
4,4,-47,53,4,13:16,14.1,4,0
4,36,48,39,4,5:21,14.1,4,-7
4,12,-23,39,1,13:41,0,0,-3
4,12,-39,38,4,6:29,13.3,17,0
4,10,-15,50,4,3:50,13.3,17,-7
4,7,49,40,1,3:50,3.07,4,0
4,12,43,32,1,0:43,3.07,4,-7
4,1,-29,63,2,5:08,10.17,7,-7
4,11,-24,45,3,13:03,17.17,0,-3
4,5,-28,31,3,6:52,20.17,-3,0
4,8,50,48,3,3:47,20.17,-3,0
4,9,-21,32,1,2:37,14,14,-3
4,21,-11,46,3,0:30,28.03,25,-7
4,5,44,39,1,9:29,0,0,0
4,10,-20,35,2,14:54,7.07,0,-7
4,5,49,49,2,2:24,7.21,-14,0
4,9,-21,47,3,3:20,14.21,-7,0
4,6,-49,49,1,9:30,0.07,7,-3
4,10,-25,47,1,5:23,3.07,4,0
4,15,37,20,2,0:53,21.06,15,0
4,1,-22,44,3,7:57,21.06,15,0
4,12,-18,62,3,2:31,28.13,15,-7
4,4,-33,45,4,11:01,35.27,8,-7
4,4,-36,45,1,2:38,0,0,0
4,6,-34,57,2,1:03,0.14,14,7
4,1,-34,0,3,6:32,7.27,20,-7
4,9,47,32,4,6:18,24.38,14,0
4,2,43,33,1,11:50,0,0,7
4,18,-45,25,2,10:51,14.07,7,0
4,11,-26,40,3,9:44,14.07,7,0
4,12,-43,35,3,1:36,21.14,7,0
4,29,48,34,4,13:18,21.14,7,-3
4,10,-32,59,3,7:44,0.45,45,0
4,5,46,46,1,10:47,0,0,-7
4,6,-39,56,2,8:01,21.14,-7,0
4,8,-39,59,3,9:25,28.17,-11,0
4,10,49,,3,1:18,28.17,-11,-7
4,15,-46,44,3,1:13,28.17,-11,-7
4,14,-21,40,1,13:44,0,0,0
4,10,-28,52,1,8:44,0,0,0
4,3,-41,43,1,5:40,0,0,-3
4,14,-33,40,2,7:05,3.07,4,0
4,2,-36,24,2,2:22,3.07,4,0
4,12,-42,33,4,6:23,13.17,4,-7
4,5,-43,48,1,3:29,3.03,0,0
4,6,-41,42,2,12:30,6.06,0,-7
4,2,-16,38,2,9:18,6.13,-7,0
4,9,-26,58,2,14:56,7.03,4,0
4,2,-33,39,3,11:12,24.17,7,0
4,3,45,17,3,3:54,31.17,14,0
4,38,-44,51,3,1:25,31.17,14,0
4,3,47,33,4,13:17,31.17,14,-7
4,3,-12,38,1,8:43,0.03,3,-7
4,11,-24,61,1,5:07,7.03,-4,0
4,4,41,40,4,15:00,13.16,3,0
4,9,46,34,4,14:50,13.16,3,0
4,8,-29,50,4,6:09,13.23,10,0
4,9,45,40,4,3:43,13.23,10,-7
4,7,42,20,2,10:54,21.07,14,7
4,10,-40,42,3,2:12,35.07,28,0
4,6,-23,45,1,13:32,0,0,0
4,4,-44,,2,3:16,7.03,-4,0
4,9,-39,40,2,3:16,7.03,-4,0
4,8,-35,47,2,1:05,7.03,-4,0
4,6,-24,49,4,8:12,14.09,-5,0
4,16,-19,49,4,3:39,14.09,-5,0
4,9,48,39,1,13:30,0,0,0
4,11,-28,50,1,8:06,0,0,0
4,21,-19,54,1,0:32,0,0,0
4,14,-14,57,2,8:47,7.07,0,-7
4,10,37,33,2,1:01,14.07,-7,0
4,7,-40,48,3,1:22,17.21,4,0
4,1,-47,47,4,12:00,17.21,4,-7
4,7,48,48,4,4:32,24.21,-3,0
4,8,48,36,1,10:56,0,0,-7
4,7,-35,42,2,10:36,7.14,-7,0
4,10,45,39,1,2:45,3.03,0,0
4,7,-13,25,1,2:49,3,3,0
4,8,44,42,2,4:35,13.03,10,0
4,4,-34,52,2,0:57,13.03,10,0
4,7,45,37,3,11:45,13.03,10,-3
4,7,41,39,3,5:52,13.06,7,0
4,2,-19,36,4,14:52,20.13,7,-3
4,1,-29,52,1,8:47,0,0,-3
4,5,-30,39,1,3:05,3,-3,0
4,8,-48,40,2,13:21,3,-3,0
4,11,-20,47,2,10:36,3,-3,0
4,10,-35,48,2,6:01,3,-3,0
4,13,-44,34,2,0:10,3,-3,0
4,6,-44,33,4,14:56,3.1,7,-7
4,5,-14,47,4,11:31,10.1,0,-3
4,12,-47,51,3,4:01,31.13,18,0
4,7,-27,47,4,11:56,38.13,25,0
4,5,-27,36,2,12:59,10.03,7,-3
4,1,-38,46,2,5:53,10.06,4,-7
4,4,-46,36,2,1:59,10.13,-3,-3
4,5,50,27,3,12:58,10.16,-6,0
4,19,48,38,2,13:06,3.14,11,0
4,16,-23,38,2,6:55,3.14,11,0
4,8,-40,41,3,12:52,6.17,11,0
4,10,41,-1,3,6:18,6.17,11,0
4,6,38,28,3,0:58,6.17,11,0
4,1,-29,52,1,8:47,0,0,-3
4,5,-30,39,1,3:05,3,-3,0
4,8,-48,40,2,13:21,3,-3,0
4,11,-20,47,2,10:36,3,-3,0
4,10,-35,48,2,6:01,3,-3,0
4,13,-44,34,2,0:10,3,-3,0
4,6,-44,33,4,14:56,3.1,7,-7
4,5,-14,47,4,11:31,10.1,0,-3
4,11,-24,50,1,3:19,3.07,-4,-7
4,3,-18,41,2,4:17,6.14,-8,0
4,20,50,32,3,12:33,13.21,-8,-3
4,8,-33,40,4,9:35,22.24,-2,0
4,10,-32,23,4,5:49,22.24,-2,0
4,7,-13,25,1,2:49,3,3,0
4,8,44,42,2,4:35,13.03,10,0
4,4,-34,52,2,0:57,13.03,10,0
4,7,45,37,3,11:45,13.03,10,-3
4,7,41,39,3,5:52,13.06,7,0
4,2,-19,36,4,14:52,20.13,7,-3
4,10,50,40,1,12:24,0,0,0
4,10,-25,46,1,4:03,3,-3,0
4,8,43,43,2,7:05,3,-3,-3
